2026-03-18 11:22:48,922 [INFO] 开始通过浪潮 AD 接口配置 45 台服务器...
2026-03-18 11:23:05,286 [INFO] [FAILED] 172.19.41.17: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:05,556 [INFO] [FAILED] 172.19.41.11: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:05,939 [INFO] [FAILED] 172.19.41.16: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:06,758 [INFO] [FAILED] 172.19.41.20: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:07,941 [INFO] [FAILED] 172.19.41.18: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:08,129 [INFO] [FAILED] 172.19.41.14: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:08,369 [INFO] [FAILED] 172.19.41.15: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:08,691 [INFO] [FAILED] 172.19.41.13: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:12,570 [INFO] [FAILED] 172.19.41.12: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:13,357 [INFO] [FAILED] 172.19.41.19: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:22,648 [INFO] [FAILED] 172.19.41.22: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:23,850 [INFO] [FAILED] 172.19.41.21: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:25,368 [INFO] [FAILED] 172.19.41.24: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:25,714 [INFO] [FAILED] 172.19.41.23: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:26,134 [INFO] [FAILED] 172.19.41.26: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:26,276 [INFO] [FAILED] 172.19.41.28: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:26,313 [INFO] [FAILED] 172.19.41.25: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:29,874 [INFO] [FAILED] 172.19.41.27: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:30,396 [INFO] [FAILED] 172.19.41.29: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:31,000 [INFO] [FAILED] 172.19.41.30: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:42,068 [INFO] [FAILED] 172.19.41.32: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:42,314 [INFO] [FAILED] 172.19.41.31: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:43,270 [INFO] [FAILED] 172.19.41.35: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:43,533 [INFO] [FAILED] 172.19.41.34: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:44,477 [INFO] [FAILED] 172.19.41.37: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:44,683 [INFO] [FAILED] 172.19.41.33: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:46,570 [INFO] [FAILED] 172.19.41.36: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:23:46,634 [INFO] [FAILED] 172.19.41.40: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
