2026-03-18 14:01:48,975 [INFO] 开始通过浪潮 AD 接口配置 58 台服务器...
2026-03-18 14:04:24,159 [INFO] [FAILED] 172.61.169.25: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:45,824 [INFO] [FAILED] 172.61.169.26: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:49,072 [INFO] [FAILED] 172.61.169.27: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:51,670 [INFO] [FAILED] 172.61.169.28: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:54,497 [INFO] [FAILED] 172.61.169.29: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:54,593 [INFO] [FAILED] 172.61.169.31: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:54,816 [INFO] [FAILED] 172.61.169.32: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:58,097 [INFO] [FAILED] 172.61.169.34: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:58,725 [INFO] [FAILED] 172.61.169.33: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:04:59,210 [INFO] [FAILED] 172.61.169.30: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:02,289 [INFO] [FAILED] 172.61.169.35: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:22,796 [INFO] [FAILED] 172.61.169.36: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:24,927 [INFO] [FAILED] 172.61.169.37: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:31,111 [INFO] [FAILED] 172.61.169.41: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:31,158 [INFO] [FAILED] 172.61.169.38: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:31,596 [INFO] [FAILED] 172.61.169.40: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:34,189 [INFO] [FAILED] 172.61.169.39: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:34,664 [INFO] [FAILED] 172.61.169.42: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:37,652 [INFO] [FAILED] 172.61.169.43: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:05:37,654 [INFO] 执行完成: success=0, failed=58, error=0, total=58
2026-03-18 14:05:37,654 [INFO] 日志文件: logs\ad_run_20260318_140148.log
