2026-03-18 11:32:34,435 [INFO] 开始通过浪潮 AD 接口配置 45 台服务器...
2026-03-18 11:32:51,368 [INFO] [FAILED] 172.19.41.11: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:51,786 [INFO] [FAILED] 172.19.41.16: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:53,346 [INFO] [FAILED] 172.19.41.17: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:53,466 [INFO] [FAILED] 172.19.41.15: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:54,077 [INFO] [FAILED] 172.19.41.13: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:54,750 [INFO] [FAILED] 172.19.41.18: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:55,345 [INFO] [FAILED] 172.19.41.14: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:56,175 [INFO] [FAILED] 172.19.41.19: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:56,524 [INFO] [FAILED] 172.19.41.12: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:32:56,856 [INFO] [FAILED] 172.19.41.20: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:11,032 [INFO] [FAILED] 172.19.41.21: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:11,437 [INFO] [FAILED] 172.19.41.23: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:12,049 [INFO] [FAILED] 172.19.41.27: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:12,373 [INFO] [FAILED] 172.19.41.24: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:12,450 [INFO] [FAILED] 172.19.41.26: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:12,481 [INFO] [FAILED] 172.19.41.22: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:14,182 [INFO] [FAILED] 172.19.41.25: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:14,521 [INFO] [FAILED] 172.19.41.29: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:16,947 [INFO] [FAILED] 172.19.41.30: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:17,854 [INFO] [FAILED] 172.19.41.28: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:28,388 [INFO] [FAILED] 172.19.41.32: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:28,736 [INFO] [FAILED] 172.19.41.31: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:31,369 [INFO] [FAILED] 172.19.41.34: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:31,487 [INFO] [FAILED] 172.19.41.36: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:31,759 [INFO] [FAILED] 172.19.41.33: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:32,275 [INFO] [FAILED] 172.19.41.35: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:32,769 [INFO] [FAILED] 172.19.41.38: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:33,379 [INFO] [FAILED] 172.19.41.37: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:34,776 [INFO] [FAILED] 172.19.41.39: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:36,646 [INFO] [FAILED] 172.19.41.40: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:48,940 [INFO] [FAILED] 172.19.41.41: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:49,413 [INFO] [FAILED] 172.19.41.42: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:50,245 [INFO] [FAILED] 172.19.41.46: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:50,255 [INFO] [FAILED] 172.19.41.45: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:50,311 [INFO] [FAILED] 172.19.41.43: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:50,583 [INFO] [FAILED] 172.19.41.48: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:50,629 [INFO] [FAILED] 172.19.41.44: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:55,289 [INFO] [FAILED] 172.19.41.47: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:55,372 [INFO] [FAILED] 172.19.41.50: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:33:56,357 [INFO] [FAILED] 172.19.41.49: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:06,815 [INFO] [FAILED] 172.19.41.51: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:08,229 [INFO] [FAILED] 172.19.41.55: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:08,667 [INFO] [FAILED] 172.19.41.54: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:09,224 [INFO] [FAILED] 172.19.41.53: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:09,504 [INFO] [FAILED] 172.19.41.52: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 11:34:09,506 [INFO] 执行完成: success=0, failed=45, error=0, total=45
2026-03-18 11:34:09,506 [INFO] 日志文件: logs\ad_run_20260318_113234.log
